Id, label
10989	,	Operation	Ke											
11039	,	Territorial	evolution	of	Germany									
11061	,	Italian	invasion	of	France									
11141	,	Adelbert	Ames											
11146	,	Battle	of	Gettysburg										
11149	,	Nullification	Crisis											
11167	,	David	Lloyd	George										
11252	,	Kenji	Doihara											
11322	,	Union	of	Transylvania	with	Romania								
11356	,	Alexander	Cochrane											
11359	,	Henrietta	Maria	of	France									
11400	,	Spanish	invasion	of	Portugal	-1762								
11429	,	Battle	of	Lookout	Mountain									
11480	,	Brooklyn	Navy	Yard										
11530	,	Battle	of	Contreras										
11599	,	German	occupation	of	Norway									
11600	,	Mexican	War	of	Independence									
11660	,	War	crimes	of	the	Wehrmacht								
11721	,	William	Shirley											
11759	,	Buffalo	Bill											
11892	,	Balfour	Declaration											
11955	,	Hispanics	in	the	United	States	Navy							
11995	,	Battle	of	Charleroi										
12019	,	Matthew	C.	Perry										
12033	,	Apocalypse:	The	Second	World	War								
12180	,	Vojislav	&#352	e&#353	elj									
12273	,	Nathaniel	Lyon											
12316	,	Bay	of	Pigs	Invasion									
12379	,	Stadtholder												
12426	,	Michael	Andreas	Barclay	de	Tolly								
12463	,	Battle	of	D&#252	renstein									
12487	,	Battle	of	Uman										
12488	,	Norman	Franks											
12499	,	Charles	Oman											
12583	,	House	of	York										
12593	,	George	Croghan											
12595	,	John	French											
12596	,	Prince	Heinrich	XV	of	Reuss-Plauen								
12626	,	Origins	of	the	American	Civil	War							
12633	,	Hubert	Humphrey											
12670	,	Franco-American	alliance											
12691	,	Provisional	Government	of	the	French	Republic							
12699	,	Simon	Cameron											
12702	,	Siege	of	C&#225	diz									
12707	,	45th	Virginia	Infantry										
12722	,	North	Russia	Intervention										
12755	,	James	Wilkinson											
12794	,	Battle	of	Wagram										
12886	,	David	Beatty											
12965	,	Operation	Rolling	Thunder										
12986	,	George	Washington											
13032	,	Battle	of	Ball's	Bluff									
13034	,	Knoxville	Campaign											
13053	,	July	Crisis											
13055	,	William	Pitt											
13074	,	John	Curtin											
13078	,	1948	Arab&#8211	Israeli	War									
13086	,	Arctic	convoys	of	World	War	II							
13097	,	Filibuster	(military)											
13113	,	Rhodesian	Bush	War										
13134	,	Armistice	of	Mudros										
13164	,	Francisco	Franco											
13218	,	Cherokee	history											
13247	,	Frederick	Scherger											
13281	,	German	resistance	to	Nazism									
13289	,	Guatemalan	Civil	War										
13323	,	Kingdom	of	Iraq										
13348	,	Henry	Hopkins	Sibley										
13351	,	George	H.	Steuart	(brigadier	general)								
13369	,	Second	Anglo-Afghan	War										
13375	,	Alexander	Farnese											
13376	,	Wolf's	Lair											
13420	,	Western	Front	(World	War	II)								
13422	,	Defence	of	the	Reich									
13501	,	Political	general											
13506	,	Battle	of	Copenhagen	-1801									
13525	,	John	the	Fearless										
13585	,	Hague	Conventions	of	1899	and	1907							
13593	,	Sioux												
13607	,	Stanley	Bruce											
13624	,	Battle	of	Teruel										
13628	,	Battle	of	Westport										
13629	,	Rodolfo	Graziani											
13644	,	Pacific	Ocean	theater	of	World	War	II						
13674	,	Exilarch												
13725	,	Aurelian												
13781	,	Ireland	and	World	War	I								
13799	,	Blockade	of	Germany	(1939&#8211	45)								
13810	,	Gideon	Johnson	Pillow										
13824	,	Nagorno-Karabakh	Republic											
13829	,	Franz	von	Papen										
14087	,	Lyndon	B.	Johnson										
14146	,	German	Revolution	of	1918&#8211	19								
14203	,	Third	Battle	of	Petersburg									
14253	,	General	Government											
14254	,	Charles	V	of	France									
14312	,	Frank	Wheaton											
14343	,	Mohawk	people											
14384	,	Iran&#8211	Iraq	War										
14399	,	Louis	Franchet	d'Esp&#232	rey									
14482	,	Second	Battle	of	Fort	Fisher								
14502	,	South	Atlantic	air	ferry	route	in	World	War	II				
14515	,	Revolutionary	United	Front										
14526	,	Battle	of	Monterrey										
14529	,	Battle	of	Cerro	Gordo									
14563	,	Battle	of	Kiev	-1941									
14595	,	Dawes	Act											
14619	,	Anglo-Soviet	invasion	of	Iran									
14666	,	Confederate	States	of	America									
14692	,	Anti-Comintern	Pact											
14708	,	Slobodan	Milo&#353	evi&#263										
14709	,	Battle	of	Beaver	Dam	Creek								
14740	,	Daniel	Boone											
14770	,	Arthur	Wellesley											
14819	,	George	Sykes											
14835	,	Nagorno-Karabakh	War											
14855	,	Admiralty	Islands	campaign										
14881	,	Battle	of	Jonesborough										
14882	,	Abdul	Hamid	II										
14970	,	John	C.	Calhoun										
15009	,	Richard	H.	Anderson										
15035	,	Battle	of	Brunete										
15042	,	2nd	West	Virginia	Volunteer	Cavalry	Regiment							
15068	,	Arizona	Territory											
15143	,	Fredericksburg	Union	order	of	battle								
15175	,	NKVD												
15223	,	Kickapoo	people											
15244	,	Index	of	World	War	II	articles	(O)						
15263	,	Gettysburg	Campaign											
15309	,	John	D.	Imboden										
15328	,	Australian	Army											
15373	,	Origin	of	the	Romanians									
15415	,	Fran&#231	ois	Mitterrand										
15434	,	50th	(Northumbrian)	Infantry	Division									
15441	,	Chancellorsville	Union	order	of	battle								
15503	,	Nicholas	I	of	Russia									
15509	,	Ban	(title)											
15545	,	Nuclear	warfare											
15569	,	California	Historical	Landmark										
15652	,	Leopold	III	of	Belgium									
15662	,	Pima	people											
15677	,	Douglas	MacArthur	in	World	War	II							
15754	,	World	War	II	persecution	of	Serbs							
15759	,	Vietnam	War											
15803	,	Paul	Kruger											
15822	,	John	B.	Floyd										
15823	,	Paul	von	Hindenburg										
15826	,	William	Beresford											
15919	,	John	Kerry											
15934	,	Edward	Johnson	(general)										
15962	,	Consequences	of	Nazism										
15980	,	William	McKinley											
15985	,	Reconstruction	Era											
16061	,	John	G.	Foster										
16090	,	Reichskommissariat	Ukraine											
16091	,	Ulysses	S.	Grant	and	the	American	Civil	War					
16121	,	Ho	Chi	Minh										
16184	,	Wake	Island											
16194	,	Nahmanides												
